Country,Search_Keywords,Search_Location,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating
US,data,,Entry Level Data Analyst,https://www.indeed.com/company/Swivel-Payment-Solutions-LLC/jobs/Entry-Level-Data-Analyst-9df04ffe0ec32f59?fccid=73358697b054bc26&vjs=3,"Swivel Payment Solutions, LLC"," 
 Monitor data quality and perform data cleansing as needed.
 Experience with data visualization tools such as Tableau or Power BI.
","New York, NY","Posted
Posted 7 days ago",
US,data,,Data Scientist,https://www.indeed.com/rc/clk?jk=7f470d55446160f0&fccid=43014b1412e0a7b6&vjs=3,Pinterest," 
 Knowledgeable about best practices around data manipulation, building data pipelines, feature engineering, and creating dashboards.
",Remote,"Posted
Today",4.1
US,data,,Senior Medical Economics Analyst (Hybrid NY),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2UqVY0eO9XBLriZEDdTcgBPf9YGxYHxIXZwdXEwTqdtgWSiiiYsR_9-vhfFsZC3-slKsysD3bSA1tJxwO8Mbvp8PFLz_xNatJis5YCysj1YxJE2-yYSV7Nd8K0FJo8cwbWFTi1aQc3yTP_Arm3tg30BFqw3JhOrxS_c6ivO8nYxPQ5pq4b-nJ5IC9utoW6im9QRU3mwKN6nzBq2X5mZ4oFUKN_OqC3viLZHWgjQjZipz6uQkIhTh5PTqEzYpGMYdSZNRhg0HsFvrMWxZB0pRWCfxM5aWwDjeqYFFeIWqlbKvmUsdOIvjRe-bblQN9ObdKw6BL2IfYQlMFD9vAfq_SWhpCT2uthiw1BrE0-F4pNJ8Neb3SQWQQlAyq8-e1k8RtuTSk6O1TkoGcMj8lCHV5tWBOqZHtywoQNC1Zpl113eS6ctJ1QD8kRxD_tFHfYdO_HNFH8X5gvbGMwhZAZea_MfVgdtAthb_GdjBoocIgKsDHyYk3_ghfn7HovmTR34qk3OWmbHLLINEsXoS-tBk8PQC4SCGe6tm3POHBUcMz7YWE7wbZnTx9etgh4wwAgTgCTEtpb_JDz5-gcU6HSeFUNSvhm5cjbGG1khd7lU1VNBI3SPtu0dVZ9G-H_UdutjmRrvShQD6XYxEilnyZYVzEZwT7BCVzdMG7HLHUShFsc7rogCqgJpKDKZ7b7hnFmd9wHR3N3oG5rjQvcs7MVvL3b6yXkfuwzcwp6_HBRQYh4e7Wzk7j_E03AmwUVS00Z5nkBwQjDMdeMkPS1_MsxDu_Yxsr1Yn2EGlXlu2SHuomsw==&xkcb=SoD7-_M3Suu7wUxgWB0IbzkdCdPP&p=12&fvj=0&vjs=3,HealthFirst," 
 Work experience with SQL where you have created SQL queries, pulled large data sets, and performed data manipulations/analysis .
","New York, NY 10007 
(Tribeca area)","Posted
Posted 30+ days ago",3.4
US,data,,Data Entry Operator,https://www.indeed.com/rc/clk?jk=deb747dbfff1a87f&fccid=c52729eeea639ded&vjs=3,Excess Telecom," 
 Uses data entry equipment to record assigned Sales Field Agent data in a timely and accurate manner.
 Excellent and precise data entry and typing skills.
",Remote,"Posted
Posted 12 days ago",
US,data,,CLIENT DATA ANALYST,https://www.indeed.com/rc/clk?jk=64b3a1ce2bf728eb&fccid=1807e5727f702882&vjs=3,Louis Vuitton," 
 Execution and interpretation of a wide range of client data across multiple data sources (IBM Cognos, Salesforce, Google Analytics, etc.).
","Hybrid remote in New York, NY","Posted
Posted 13 days ago",3.7
US,data,,Data & Reporting Manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APJBwLPAHnj3RQ_E1AqwlX34fQ713y5tClr8pNr9w5fO73HEDC26UusJblNSloSmQhyDa8hNM7NKFGvl7XECQxzaue_0_5CxRCfm_LmcIlj7379s96ZorV_TOm-ayP0S8D7nKTm9kTRXNVgNXD3wXSBnwfEe6DiDZWM3Q1JXaZsQsA5x67_jbDyQyrhCgKqcjCQSdciSMrIg8vtGrwShx9wVWjTG889VohpPUe1hDRKPDiUD9gffZQxZpl4IiLML1mTKDKilc8G93UPBb9rM8Qc2t-lpEqLnA1kRFPBJszdVMPcC8EhDnDKPqe69aNpNCtwv2vAVODjlcUEgtq8HumCjDx6mUSAnT8Cp0qzly3K14as95ez0zCdj75o9wB3gU987OUWZhogBD9DqRaKBWp1gemxRaBl7wYLDLkYkuiAhEOsBgv6l3CsP49Jss8Mbv6ursZMEmvpTYjbS2ExObjk0uWJ_CcShhtieZVBWCOBReXtkWdT-Iei-b7osD3SaiR-gH7vbXlorGmF1EDYa1Q&xkcb=SoC4-_M3Suu7Dqxygx0JbzkdCdPP&p=0&fvj=1&vjs=3,The Arc Central Chesapeake Region," 
 This role requires a bachelor’s degree in information technology or a related field along with three years of data management, analytic reporting, and data…
","Severn, MD 21144","Posted
Posted 6 days ago",3.3
US,data,,Bravo-Sr Data Analyst - Remote,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbQeAEQJ-rk4Jm3ZGkxyTr4pVCbTgJQqPjNaqrSvx2PDLMKJh1hKx3UHskYTG_enPxfxSbSufhnS20ZtZ_Phwr6UtNHtMLT8YAPZoA4mGLuwzzU2NHkAqAQdI7lRtTi-8ncq1NbW5bKkdui2kktGcOG1dSg-JFzZCueMI1Pigqbe4UTNPc-b9h2ZEEI3RJ5hz9fe5NKl2839p8eMveraG8FnZHc9VlCwKO6eiuCuGpMJtpoHfhZT4Au6lGR4uUqrhw-eJLSIwtienDyAoWwsQBMesHaXYMRwMR5a7rWwerrkJ7T3sIuxolb0DFwsrxa7Uhli0BU_plKk4MRzOnd9OVrpJsu3N4WPW-YkQdZYM2A69xd-rOYHAqnlOYc8WLrI1UahWi3mlefwrQOQot8_Yv4TqMy5SmFYaP205BYSUDnMUWsmSPsXuJdTAxRsXZO_P_dqlm50cij4HkwKXALOnib7jAWatdPNONp_97Fd0wbWG1RtpZ_ofWAHA3Cwu1t8U1ckBn36g0Owt4RndPMDLrnMJ10haY95reP8TYSmqTcH0lSiJez6fZ-vy9NH7b4sQEVthNZd6xwuK0NutmeI43&xkcb=SoBI-_M3Suu7DVRygx0LbzkdCdPP&p=1&fvj=0&vjs=3,Medical Mutual of Ohio," 
 Develops and summarizes defined analyses using data visualization tools that use integrated data sources that reflect complex custom analytics and data stories.
",Remote in United States,"Posted
Posted 30+ days ago",3.9
US,data,,"Data Analyst, Warehouse Operations",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CstXeUy0WVrfVyY_Akb2PhEdIa1nS1MRrbCj9Cyn5sPvmgccs1z4mL24HRcQ1Byy3YziG0O96pei3FAr3FY8js76SGs7MfAT0BxSF2Azgxn5b47W6UK0fO635rMUzt4rJfDnMfqsgf-YfzqTrxzy1Q2YMxStjvJkFSID2jYhVOpJsPddBnoHLe3JAl5i67jdSD5DWxzZqwzmGKNb-96yRrODq9pIScbTBlDwkP8PUIlDZSMYHcMYKhO06MsvvghtMWeuVee9p6czenfyGMzM3Iu7wZjmwV_mFC2pkziek4aO62f5t4LiunK5y2lvlLBOtx8rdCrspWk_FloYsScecpI4A4N0EDJdtrSiF8fXZFknXmqIl-BQc_2e37084as2rw6nvcpZtwtZTjEhjvFv6fmJw-wAnsvCTJLMK8bRrsoCgjZUpoKy1Ye-dKJk3YspbRuXoGaEXnwNbwkF3bpwfU9qtIo3_-ejb5LPrr8wffsyLLkXcDZ96ap-cwLNlRKycwHVGlAnJGvyoboP5XN301RsVQpu4tbGJQWQE_c--U9w==&xkcb=SoD8-_M3Suu7DVRygx0KbzkdCdPP&p=2&fvj=1&vjs=3,Dorman Products," 
 Creates best practices and processes for operational data analytics.
 Do you have experience working in a warehouse as a data analyst?
","Shiremanstown, PA 17011","Posted
Posted 30+ days ago",3.4
US,data,,Data Custodian Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoP8nG612n6SaIo-6cBFZ4ajKscvbmOmjTSQxsFZrL9GCCvt0keq5zOVAgXX6UYAzrKwSgTwYpAHPpkCCfMM1Zv3Sz5kljt_3EX9iU6KFuOt_auhWs4HVZc0rBSGtqrV6YhIZFy_mjtnZUUm0xXyLYu4g2kUkCIu8Lse1pCIdlYTfSPIwRDwDrTEi_dOTAi2cPwpq03DBGYPqVmIEZjklHrSTncPQriVGAbf2iWgosPU4lGhf9hCHfMrMeHq-bI-8Zpaj3VnrsqzXguvx_pI1l8IYuuUPeUVkcQfTYwsT3bHx2T1j3REoEkLqR2L-ogk3jUPtHyJygKCz_L4fo_8iX9Yh0YPLfpHAMe3CnUyox9-LUhEVuuO7t8FZ7na9UOGP2snTBIK339VsHjwhY4l2B2_MDOhSuZXEwwQtifDVCZpKvwx7N23ZoMfEUqNmOSIAV-8Mdf22q81MPSnhYveD2CkcM5W92Lm_KeWF4dLuQ1R6uziGg06JqphTXggiy668ouKHMBD_pg8HX6qDkkwfDD2gtOn-A023XSSZeYfP2F158ej1-eSpIhUXifgWXF8UCJBxRd_44gTnizgTncLsBml_VrYcwVJPwVxuCI8UFtMT6aIqBLxpfWUanZdhhTr6aIwX0-JFX3HEfT1N3lobYMYBrjsaQUxCDXxd_-3dvf_7scpf8coQG_D8NZWPqKI0doBEEDA4Mxv2hhzDvIhiiY6QJanIJc7pdQpef6fMcGJ410N0AkFOhSTW_RlBWgtgH_qE9eKTJO9xX22CqKlR7ufBMOa3lD5ygv7X84CyWJCHGcY6wDmpU9NKBxEtWK22s4UkyOSvbMJDGQz9OxDSch-zApOWQEsRgKI27YiyRh0TzPwaE1NQwojOrSZy5DaIGlRQJEIpWBh6KJPBrIkGA4rRsbwIRZsHi9bORMIeWqXeGfB12SAkMLCHsJbH_ke1gN15Wlqd5kQmB7a-qIziXGvccy2I1IGp85YEu70z1GsHWCsd8L8QTR_BGr2SSv9SuID7YQ8kJTgJuAxKltMcrYuwbmzcHhy6zAbc7E2bMrzrcCOoPLeviDVw2pcDVxIjLB6G0m60P8A5hUcjr56C3-DeUZj3GQTr8vBX-oAU-2Tu0CT2rZjIfBV0PpyPE1n6HqMqC1I37XA==&xkcb=SoBh-_M3Suu7DVRygx0JbzkdCdPP&p=3&fvj=0&vjs=3,Boston Consulting Group," 
 Manage the Data Loss Prevention MSP to ensure data confidentiality.
 Management of the Data Lifecycle for BCG and Client data as data is ingested, stored,…
","Boston, MA 02109 
(Downtown area)","Posted
Posted 30+ days ago",4.2
US,data,,Data Analyst,https://www.indeed.com/rc/clk?jk=77e24895b93353a4&fccid=8077183a161ef0fd&vjs=3,New York University," 
 2+ years experience analyzing quantitative and qualitative data.
 Reporting to the Director of Data Strategy for the Office of Communications, Engagement and…
","Hybrid remote in New York, NY 10012","Posted
Posted 30+ days ago",4.2
US,data,,Client Data Analyst,https://www.indeed.com/rc/clk?jk=b4f57d7e5f07318d&fccid=9c517ddde2ea6b5a&vjs=3,Louis Vuitton Malletier," 
 Execution and interpretation of a wide range of client data across multiple data sources (IBM Cognos, Salesforce, Google Analytics, etc.).
","Hybrid remote in New York, NY","Posted
Posted 13 days ago",4.0
US,data,,IT Business Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CMEbTSwSzU1IW97ywJYYnqOWrNpBLK4VX1F-90i7rZ4J9_gCCnMRiWAXtq6K53ui07YjQlB2JsxeTF5GmSBqkNql5EpGKkN1P6r4ixcFfUIAeB2jqwdoj4pXyQdf4_9IQFCgSxa7DUqdS9Qz70_hP-mj1FkYmohNDN0UlQnE4CSGp2YzEVp7S_4OmFlXX1oDCtJGbzyFnNuEvuxlRVpmoqHAuME9FR6mDb3IjTmK8dT2ziFciW6STzUSw08DcV6MjKdHZnIPWsXuvz9VUgtayd2zmTq7JAheqVUBHHoTrJ97i8wuRL4eg9YzoOZjpmCm_dMoeeX4vp4szi6qRqM06IuFBEwCE9W13MJwVcPnVjiS6iozJ18IXuJGgspanUYSTQKX6zMCjlpBZuKmDtI1evwG3FzzIrECXodDm7596ro4MdzlTRJMZQdioQyHsCkOMgSC7hS5KSIhRDe_RrdA1D0AToBGufx5mZJ6hk4YuwCNpd4NdUu81aqRGBR_rlV4LGpbYvLtkWRoyuOa_FLp0nClKdN5Ko8xNeX-K0Px0v0e_DiENrMsdqZLc1uu1HSqqPGY3QdFJRc-hGX9anxLgXg0JNgEXMckRpAnc86ASuwqYLQaDTO45SDRn4yyVNwfx_8giRlOqJlkXBexwq8kQDcPl1jkLJWMDmtPni1gxO0nEvLPOY67NvsHeAAH9z2yY1ZDzN7Caaxyr3XBhBiPul0apcJMU_a2eNRgk1j4Rd_izzBrhzB5tD-Uko5GmczrpK-mBsqPhPCQ==&xkcb=SoDv-_M3Suu7DVRygx0ObzkdCdPP&p=6&fvj=0&vjs=3,CGI Windows and Doors," 
 The Business Analyst acts as the primary liaison between IT and PGT’s stakeholders to provide maximum value to the organization through IT solutions and…
","Hialeah, FL 33018","Posted
Posted 30+ days ago",
US,data,,Data Entry Operator - Remote or In Office,https://www.indeed.com/rc/clk?jk=fadee12fbde45eb8&fccid=f47d59310b2b892b&vjs=3,Expert Solutions Inc," 
 Apply data program techniques and procedures.
 Strong understanding of data integrity and security.
 Follow company policies and comply with data integrity.
","Remote in Frisco, TX 75033","Posted
Posted 2 days ago",4.4
US,data,,Data Annotation,https://www.indeed.com/rc/clk?jk=affd24d20b74a67c&fccid=3c99d2c627a7f85f&vjs=3,dMetrics," 
 Background in linguistic analysis of real-world text data.
 In this role, you will:
 Implement annotation procedures, possibly relying on crowd or community…
","Brooklyn, NY 11211","Posted
Posted 30+ days ago",
US,data,,Data Entry & Validation Associate,https://www.indeed.com/rc/clk?jk=c331f97ebb7442ba&fccid=d3dba9f28fc8afc3&vjs=3,Communication Technology Services (CTS)," 
 Ability to compile, organize and data matrices and validate data.
 Cellular metric thematic map data post processing with Windcatcher or Map Info.
",Remote,"Posted
Posted 4 days ago",3.4
US,data,,Freelance US-based Data Annotator $10-$15/hour,https://www.indeed.com/company/Innodata/jobs/Freelance-US-Based-Data-Annotator-Hour-3d36773a6f136775?fccid=5eea1417d291ddbd&vjs=3,"Innodata Knowledge Services, Inc."," 
 US-based, with data annotation experience.
 English grammar and language acumen needed.
 Can work a minimum of 4 hours up to 8 hours daily.
",Remote,"Employer
Active 2 days ago",3.8
US,data,,Senior Data Architect,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6J4U2Kkd0V7I333JW2U9_gSjQpz5qU4fBNIiszA4W_l5DxCasMB7KJ7TH7HGTLE0obFHs_rE200p_UyHdmcT7uWmKWyNz4_rnLnm6ZV8IJDV68JFICNzJqJeB7bW4sWyjHPJRtWRIfI8-c0a6JOv9LN24rmrzvtCHGUEBAZ80yFd6_eis6ndNouSOzt14gddzYWL_oghX7__UikHXLFMSjJQOWqyYPMo7UCFOi95u055sQ-yAjvVpHyHqFTN2zBADK0GwwkHLMecd6g2i8fP5pHt33PAJrv6-Nekybo7CrNYT7YjIy27FE-kesf1Ke-FhVm5YyWUUSIYa6W7Fp1lxDlz-rf0EKV1cEaSWPFdVY_g0BGjSOf2hMyNzlBZVp4TlKQeCJAKZZNHMLoPJc6594LRL3ORe1Tt3OfhUJ2w-5gqzhmfZEM_2dzKhbF0GA8LooXUqn78VLqKbH3pHf0jYu3r3HWkWS-K5e-SvEtwN1VCGBVrxJX7q9GsXWDr5wJLQiLMCLxHq4DXjZ8pSq0mv&xkcb=SoCD-_M3Suu7DURygx0LbzkdCdPP&p=11&fvj=1&vjs=3,Onebridge," 
 Build modern approaches to automating data pipelines.
 Assessing current and future states to provide a road map for data solutions.
","Hybrid remote in Indianapolis, IN 46278","Posted
Posted 17 days ago",4.5
US,data,,Data Entry Coordinator,https://www.indeed.com/rc/clk?jk=905ec4b65395a2f7&fccid=7cfd367da885ec89&vjs=3,Clic," 
 Minimum 3 years experience inputting data preferred.
 Input PO’s and all merchandise received at the warehouse and stores in the POS system.
","New York, NY 10013 
(Little Italy area)","Posted
Posted 5 days ago",
US,data,,Human Resources Data Analyst,https://www.indeed.com/company/WorldLink/jobs/Human-Resource-Data-Analyst-0bfe1fcbdf005afe?fccid=5c0740ed94646b0c&vjs=3,WorldLink," 
 Familiar with market data survey analysis and salary ranges structures.
 Perform data analysis on compensation elements, including base pay, short-term incentive…
","New York, NY","Posted
Just posted",3.8
US,data,,Data Entry Clerk,"https://www.indeed.com/company/Insight-Investments,-LLC/jobs/Data-Entry-Clerk-cf353c01a8f6dca7?fccid=56d341640d68d3c0&vjs=3",Red8," 
 Proven experience as data entry clerk.
 Perform regular backups to ensure data preservation.
 Type in data provided directly from warehouse systems.
",Remote,"Posted
Posted 6 days ago",3.3
