Search_Keywords,Search_Location,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating,Current_Time
data,,Database Programmer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A4yvaDNJC1XO2KpYb6I506sXoGZLs570iPMT_FAy_2ytginm3BGRpQxJKCxUjnqbUFejR4WFh5Fc54qch1bci2Y5scAdqeZPBPphC1AQZ-U9lkuZ-_hf0MvI3ah9jLzK2cK5hXfOI3sHNtLIThm5moqpzqrmEgrzLmrYChifKe28_f8JsqBMvJ8-uas2P9teDHhIa0ucKnCOMkS2IxLnBFppem8xnJbcX_Pwx7gi5OdbZuPMbuyMPTs8rzO3FXbLLCGwwpmzew90azCemSPCeN_ni0IpftoyICJdm_u5joplsrEQUXXiUaIn68m9VWJ9qHhKvzRx0-cZKwOob36wKVjT7zwpQKtTlsA1S_KoKVFYywf5AP0eyRyXMR5v0ZqadDnbI5mFUGgVi7DSztWegunNrYCfIYMo52dlx3IuS5jxdr9JzK3GAc52yMLIPqHxtF0nWWQJhjsAwdyobw1ML7wLIjI9bgVS8NdJ5o9V-fkNF64UrnayWYtlHJqGFclcm7PLjpk3CAQdlg0Kr4jd-M&xkcb=SoBd-_M3SusmaYW9XJ0KbzkdCdPP&p=10&fvj=1&vjs=3,"Ultratec, Inc."," 
 _This full-time position offers a Monday - Friday schedule, a competitive starting wage, a full benefits package, and a casual work environment.
","Madison, WI 53711 
(Midvale Heights Community area)","Posted
Posted 12 days ago",3.2,2023-03-13
data,,"Data Engineer, Native Ads",https://www.indeed.com/rc/clk?jk=d58b7197e06cea7e&fccid=fe404d18bb9eef1e&vjs=3,Spotify," 
 You are knowledgeable about data modeling, data access, and data storage techniques.
 Build large-scale batch and real-time data pipelines with data processing…
","Remote in New York, NY
+2 locations","Posted
Just posted",4.4,2023-03-13
data,,Data Analyst,https://www.indeed.com/company/ABAL-Technologies/jobs/Data-Analyst-1ea13739319b1e5a?fccid=126fb952174f6651&vjs=3,ABAL Technologies," 
 Demonstrated experience with data entry, data management and investigating in an information management system or complex database*.*.
",Remote,"Employer
Active 4 days ago",2.5,2023-03-13
data,,Donor Data Analyst,https://www.indeed.com/rc/clk?jk=231fa36a1cc8a9fc&fccid=293914d8e1bfb395&vjs=3,The Trevor Project," 
 Experienced. You have a proven track record working with Non-profit CRMs like Salesforce NPSP, building data models, dashboards, reports and data extracts from…
",Remote,"Posted
Posted 30+ days ago",4.2,2023-03-13
data,,Data Analytics,https://www.indeed.com/company/NLB-Technology-Services/jobs/Data-Analytic-d0e793fe7f78e1c9?fccid=b3fc027da382dafc&vjs=3,NLB Technology Services," 
 O techniques for data mining, data profiling and segmentation.
 Try to avoid Big data profile*.
 Technical proficiency in database design development, data models…
",Remote,"Posted
Posted 3 days ago",,2023-03-13
data,,Data Loss Prevention Associate,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZpqIKI17rmnMxlDxCB_pvW0EeGFzdeY_-PYIFBJLTKUaATNhXujtTCxVAa1AKn8vJtKJqRSpeTYhE2EmYueEbyCiLXULu5Ehod81FBsQz4Z8x9QtL5o0Cu6kYqY-FPLNwOSdri_3xUFi1Zfr0riZ7IIiV2Y2iCvGB4dRRshOsr8W8GgClGWkXhOH5LW6VY445bQH72sHM1pNqb0D4JVvmSoXR5s-W5Q9IP9IbMmSJOomxY3I3QCuUGc2GjjEFqCCawrHI6Lqnuiux4s8YlcWgdSwudBAINDcDTzwzazqCTGc-ItSpE6uuT7W-4EC0r7D_fdWhgY34BtYOwpIRWKXVgiyG5U1djaLY_PLXYpQts3o3_YFf1oZvGOWWOhnuBbHwkaMUxl-J0qlsE85M5Tj5M6RKBvEhkXl1zQDjSnROf5WHHiBqjOWgM_vaafyYTWIf8Odnt527Sk9-AR90gmQ_S8486JXUeGS8OiIcu0pNB6z0zfQrCz6ZlcqOjZvPshWUu4ZwUy4zQrkEVW4mTdLdHmzztyrbglg=&xkcb=SoCr-_M3SuskI4WbCh0JbzkdCdPP&p=0&fvj=1&vjs=3,Avant," 
 Conduct data discovery to locate data at risk.
 This candidate will collaborate with technical and non-technical teams to design, implement and manage data…
","Hybrid remote in Chicago, IL 60654
+1 location","Posted
Just posted",3.0,2023-03-13
data,,Analyst Customer Master Data,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DttpIbTROqIHqU3io3Mjb9j1vDZ6A59DB9oI3eNjIGo4wH8yK6K7fPdosv9bXg_3sZnq588cMQNVfc6jt_t-f107l2fjYXUmpGEHSaniee4sXBRlL4xd8Q_nhO8i6176Z40Q_3CIT2krYVz87hu8nXvio6SoKeRVPtnixickW1V-gUx7tH_u1sVOy3L4XRH-6jlEyzu3PDaEEcVESH-nglJWQzcMHPrgUEltkloBAWlTBbTrbHa6On4lgxRXxcSqkb1CeP9tI-wjFQNPb2ubHYgFqL_eL7safSKucc88Gar_s46WQxqwm792NlNc8dPlCP3edf-0X4npCaHKLUwG12LtkDqFReaLb56n9pwHC8GCQ49-YJSX6vENdW31ruTSkAkloIT6ExAscRSXBKg6c36UQkaBV2PJ1TzLRcfWtD-b94OvHdVDkO3Cr6zW3nBKLLORak46MlKQbUo9gFitFi_K_W31uIxRicDajYrG7MxaaFjBviqk_0YpQQz2GQ0auX8Qd2nFGp8wsjHl0Hr_DfjJM8Rb0AV6sLYLT5qooIxyrdTVhbL4bx&xkcb=SoAf-_M3SuskI4WbCh0IbzkdCdPP&p=1&fvj=0&vjs=3,Tyson Foods," 
 You will partner with the business process teams that utilize customer master data to understand their data requirements and ensure customer master data…
","Springdale, AR 72766
+1 location","Posted
Posted 23 days ago",3.6,2023-03-13
data,,Data Analyst I : 339575,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ATCZlh4at3dJuJ3v9QYE_c1VOYF6jG6qQshNoY64OlFGro_RWsbK-5MgjTnTeP20DyOcR9vKGI2DH0K87u4WKb-W3l7a5tjlbwTIr91I8ehmQQ0VEsOwjVmIIFWBYo-H6CJl5og7S-jIYrH740jzK0BzP-foJEPdvkFEdJK3NFEH0nSvKdMkcVvqbX2-bPBnov8kJTZWLS_c4JbQdHnhFiaSViIH5B_1BEoTZHieU2kmGeh3wSclo-pCp11UA4cWbDQ0tIy51xQzxVkic1t2lSBuYqNwU-nxNcH1BEkaWsNqUjmZkLnSEr6j0zXazOjMOaOmxq6jnV1KCa58ecg-q1vpD5Zl9BGbB5QuhrdXROWE6ybMuJ_eSO7Z7nYAbWO0kCbOScxZ9wPfQvl0z83Z4ZtNbWkZ5qsnWnWrlyoUgl13tBooIMQ0e0k2SQxwho-7sCNoiXxL2VPwxGwpPj7Je56xgzE1FOIO-a_KXnd-4IwEVSmiIxbXegq6REhowqjJ9Vpe0tMtM6-eKkraWLgJLBdBfVwq671GWb6ekldDaBZ6Ea4i4QA_nhyQTrYzXKhNGxgSj2f9INM1LNe6g6dBxL9wTc4Km5c2aF0ulmW1RAutVtwHDRrajWJF0PyLnMY2Djyvgfnj6yrHBtBbI3-xtMfx840h_X2gZRh8DgnsyOhc5ehek8rjJPiurbPHF9YfRn98cuHSYSPeEMUBiQnMYy&xkcb=SoCR-_M3SuskI4WbCh0PbzkdCdPP&p=2&fvj=1&vjs=3,CorTech," 
  Collaborate to design and develop schemas and data acquisition, transformations, and data integration.
  Demonstrated experience in handling large data sets…
","Hanover, PA
+1 location","Posted
Today",3.1,2023-03-13
data,,Data Analyst,https://www.indeed.com/rc/clk?jk=cda06df27736c300&fccid=c892953e2c4e4038&vjs=3,"Clutch Group, Inc."," 
 Familiarity with data visualization tools.
 Identify patterns and trends in data.
 Collect and analyze data from various sources.
",Remote,"Posted
Just posted",5.0,2023-03-13
data,,Field Technician (Mobile Data Collector/Meter Reader),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CE5Rj0hG43sJMxw7rasVOhgoEKGVs6IkKzXFgpn1_sxozCSxK8djKnBMthSPvkiRA8OQShGGytzKuoFq-5mae3FlGRprI2Wc4wda9g7veSf9vL5dnGqdua5Qsl4fQRmrRc5aF8qnjnWSjoNxAn-K_kjHxm0AnZ1YajLvTNbgdMwqVcK_rW1QXrYbg3FNnMfRS8aVtdci_DhRnmzoXc9TDuS-7STdlLeFhrmHOQRlZ4RXq4vyatdbyhGxasMqGOXTyDYhCz4jtvZtxwdbU3ymNRn1liJj4wbrQG_FxO6iQR4yxh1rhudQuletqByHrIyyL3HjtHPrJT4ZIDqnrJrC3tTqn9PG2LxLSmFFAUJT1VALjcRHGkYltulHQkYqhg65wZoGNlo0XNISMRCqmcOvk_DVwwr6Yfa-DkRismkk8diXDsz1aV2NLJgPj2-sih1T15kojp-b8XwrXNa4zn3I7g2fZAsB75y44NhrXRSq8a1VS2MTVT25U8JecBPE9OchIz67uvOTgSaQpLReow_zSRliFOKYhf_N2B27-jmayIUuio6AZjwxEEsy5_ZZY1pTkaHhdpQbFmk_NkYdtoT8qV3jH8GGhICx6NbsBa6B5uQz6P4q7F8Ik4Nelm4B3RtckWXyTcVcWdtJCJq6ECnM_9FINgCq_ZDYAJOkYNPRQSLh1CzCiTVd05Tz3jASAbIt3Td8MsY4Ug1w==&xkcb=SoDH-_M3SuskI42bCh0LbzkdCdPP&p=4&fvj=0&vjs=3,Southern Cross Corporation," 
 Individuals will be responsible for using a data driven approach, gathering data from residential and commercial gas meters for our customers.
","North Charleston, SC","Posted
Posted 11 days ago",3.0,2023-03-13
data,,Data Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSAqxu7NumTUBnjDYCyhahNN_O44cSlcNiLaBWxBhUTAhgAUlJO_OEb2Xa0KhxBUoZQRXwiA1v7-eHB2n8musnEz7suJbjQDtUBtIfXVlalnsF_hbWhQW2SPhBZAC7BKYGnngR26buyljT9VRHZSMsTBchEM2-X_ZaMu66mPuIpD7SBDu95zTXSd9rG8i3z-6i15NYh3qizPAQosuvzfa0JQSDTJk0fBB3EYb8deInhDIJPMZsiFQquZxV5nl918m67wkvOshkXFIbHWVZeCz09R1wm8hPSz78CMnBzciQIpvL5SfKS2SJyGWLCwPCjf4Zi6Ur3rauOOao32V3BnFuNVqJHyCFls4y5DWVWEostz3scMuxnmz4KCpkLhzsBOliWwim28lon7JgLytnCTig99Vakbk2hC-kaExr35pZEqOf7DXs3SM4TtbpZZQUTHAIv6CN4RynxZklqjSxV_0rUGCSAzwrx4Ir0LF96LRHaN5KIMmJdB7WxioYwDOR1hV_xuRoGA-sdA==&xkcb=SoBz-_M3SuskI42bCh0KbzkdCdPP&p=5&fvj=1&vjs=3,Cuyahoga Metropolitian Housing Authority (CMHA)," 
 EDUCATION: *Bachelor’s degree from an accredited college or university with major course work in social science, data analytics, or related field required.
","Cleveland, OH 44104 
(Kinsman area)","Posted
Posted 5 days ago",2.3,2023-03-13
data,,Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQJVj3nE-ojcde6j17RFH5ufg4E4jejBl_AArWOANfmZ4ILct6WL_RUT8XTtyTCRwD_nsug0Qtdj-h3ENmNM1m1sr7at_ap0b6ddrutVbhzdSbnh57EJ9wbOUVYen1L7LXHGB9hQR7Yozx9o3y_pPUhcDS66ES1zY5YoVv_s3sjWCDLVb3a3nMtftFaAX0e8XkUMThq7z_pGBbjMK38iKndrNCVDahzY4WCkjP8riO-6i0OOemyqZsh3ptCIWqDxu6QGzOzWAPhfDNvyrwkFPMecHOJT_0mKpXdTbfxaXJlArCWhRWMfHHZe9DL2p0fDwbU7LQqsT9r7xXtI0LEDw4NlXgwY6e-DyLSlxUnn8fGo-Jo0lZtqj9Hvq1DZRKvTxbWd5GSoOfexAl1VSkPBXl699ejO-cUlaTErKt6yvLbF91w9S5Ya10C5MZxfbr_rTVAAWOuUBml3_LQia3oayYJmDt3uZ7vVXkPB0gUpxrkjiI8SVIBO0i&xkcb=SoDu-_M3SuskI42bCh0JbzkdCdPP&p=6&fvj=1&vjs=3,Bloomberg Industry Group," 
 5 years of experience working with large data sets and managing data projects.
 Familiarity with SQL and NoSQL data modeling and exploratory data visualization,…
","Washington, DC 20005 
(Downtown area)","Employer
Active 2 days ago",3.8,2023-03-13
data,,Data Product Manager,https://www.indeed.com/rc/clk?jk=cb5fc739dd353edb&fccid=6e1d1accd5aeee95&vjs=3,Garner Health," 
 This will consist of reading academic literature, talking to claims experts, and digging into our claims data.
 Experience with SQL is a plus.
","Remote in Washington, DC","Posted
Posted 7 days ago",,2023-03-13
data,,Database Administrator,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsKDMpqPkq8c-6atK3sm7usfFs6yRs65ZlRcv2lQXdAOCBUwNkP92VkL58r4jMa9OY5ydrPTGAJ72Q8rrjoj1y-lOKxU5M_mtcOSIbCS8Agu_7JPFJ7lbvl9TMJewORt3w_MNygTk8Y__YoLXn4raahgFBgglrwGA5LVV51b3UHRVmKcKpuFuUfmowMIoigtYMXq1tzM7NNEPftd9rktileLj7RZGZgdj2QS5OwyNU83aB4868srMAS_a-8M1uaVEw7QF5Rp9k0QeMfQjsqwTkEFEdYn7b82SAL61HqBtWBEtYJLcAvRtYLaAq4h9Y8jrgjXtG9tUJ6zfU5U89k2_W9DYmmAvKaOhFcM6_X4W7j1NKWApxWLFObOxpY1SOdocCuHS8hYtHYrdTur6ErO1CdPBJ8XEp-D-qrXTgQ29l6o72nhRlEQlxOm4kcP-IRh6fQD551QFP0tvYSXmLdYQYX3Aoj2T5LylFmksWYURlSf90-t2N_WvA6lQvAfCFZwMohUnYFlHkYjHkYwsLE3LyQwzqadcxAw9IwFj0UUUvZQ==&xkcb=SoDU-_M3SuskI42bCh0PbzkdCdPP&p=8&fvj=0&vjs=3,Chickasaw Nation Industries," 
 Knowledge of database concepts, object and data modeling techniques and design principles with an understanding of different data structures and their benefits …
","Oklahoma City, OK 73169 
(Will Rogers World Airport area)","Posted
Posted 3 days ago",4.0,2023-03-13
data,,Data Entry Specialist,https://www.indeed.com/rc/clk?jk=42fe24e61d91c012&fccid=380a971a7c919e3e&vjs=3,Fullsteam," 
 Summarizing and compiling data for standardized reports.
 Verifying data by correctly checking and comparing source documentation.
","+1 location
Remote","Posted
Posted 24 days ago",,2023-03-13
data,,Data Entry Coordinator,https://www.indeed.com/rc/clk?jk=905ec4b65395a2f7&fccid=7cfd367da885ec89&vjs=3,Clic," 
 Minimum 3 years experience inputting data preferred.
 Input PO’s and all merchandise received at the warehouse and stores in the POS system.
","New York, NY 10013 
(Little Italy area)","Posted
Posted 5 days ago",,2023-03-13
data,,"Analyst Data – New York, NY - Hybrid-Remote – Day",https://www.indeed.com/rc/clk?jk=97199740c27a509b&fccid=4d5d694743c295fc&vjs=3,NewYork-Presbyterian Hospital," 
 Position activities are primarily rooted in basic research-oriented behaviors including sampled review and data collection, basic measurement such as…
","Remote in Manhattan, NY 10065","Posted
Posted 30+ days ago",4.1,2023-03-13
data,,Data Analyst,https://www.indeed.com/company/On-Demand-Agility-Software-Pvt-Ltd/jobs/Data-Analyst-9df54acc254f0941?fccid=5a4aee9ecf14adbb&vjs=3,On Demand Agility Software Pvt Ltd," 
 Own the evolution and champion adoption of key data governance capabilities including data cataloging, metadata management, lineage, data quality and master…
","New York, NY 10001 
(Chelsea area)
+1 location","Employer
Active 2 days ago",,2023-03-13
data,,Data Analyst,https://www.indeed.com/rc/clk?jk=ea6979033a0810c1&fccid=1a719100c654cd5d&vjs=3,Medata Inc," 
 *Data Verification:* Analyze data for discrepancies and identify errors and abnormalities in the data.
 *Data Modeling:* Verify and transform collected data sets…
","Remote in Irvine, CA 92606","Employer
Active 2 days ago",3.1,2023-03-13
data,,"Senior Data Analyst, Operations",https://www.indeed.com/rc/clk?jk=5e4a1849c7fb2486&fccid=2345e2002bd590b5&vjs=3,BetterUp," 
 Curiosity Mindset - Genuinely interested in and excited in uncovering the strong stories that can be told through data.
 Medical, dental and vision insurance.
","Remote in San Francisco, CA","Posted
Posted 5 days ago",4.0,2023-03-13
data,,"Manager, Data Management",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8DhssTksZ4tAWhh8LVIFF2qionQVVpONm6qYGpiaOia3ipILNNAMVf7wBUmJNGmbjOi5m2glfYQjHJnUYHWT2GTidj7t5R7_nC7p0z6bC8MgouYgGpwMQATLeHEUYTVMiPpthQ8QTIIUhvVqcs2gE5xpU2HXEMyg9DYK9_MRkN3BBx_W8Gg2yrU9uW-7HZf_OxB90V1CkbY6HGPqwshINTe6dxR8sRidQ60PUhvWv-ohQl6LrWCKC2JBIlCZPi8BHofP1eOy6NiHi3NNp_9q5aRYnTjOMRuNZVsMNau8wLqnDbh4E5cucMBvzx5TcrDp_rOzK3tiDJ2AJ5m9DDT6wjJeXsCx-6_A8o1vgpVN4Om5dPhFvoX-sbx-2e3h36LpxY3i-uGOkBXzEeciDx9xLFD3XzIbCk3G7R_SxcglDoPzkngYux7VeT1RwTx8GykAUTXpHSN2oAwIOKzJKtn_QQRsjhLA_HJzawzCvdj0LN1d-iVJKV0tGFj5WjAoxP5c9I-jntJ_8q4xUi0X0P458Fj7osIA4F3IUCv6PzP65PbiIxGb7cvQa5gWxZhLP4pVnJmOdyyX2i4MHfUIadcO-u0HTi2yIrH8bQHTcVlPWy6DtHzH-mMiquNsW0NL3hBqyguekxCW-qTcJ7rfTYPeyEAXo0sr4uSnKdNWt6cjx-JRe8G0CdnqswA27SATzocCpuafjxd-diw==&xkcb=SoB9-_M3Susilg2aUJ0LbzkdCdPP&p=0&fvj=0&vjs=3,Bristol Myers Squibb," 
 Enforce data standard conventions and quality expectations for clinical data per defined processes.
 Any data processed in connection with role applications will…
","Princeton, NJ 08540","Posted
Today",4.1,2023-03-13
